size_pop,max_iter,prob_mut,best_distance,time
10.0,25.0,0.0025,5732.684311209281,0.04373931884765625
10.0,25.0,0.01,5505.846692615311,0.04644131660461426
10.0,25.0,0.1,4615.066474787834,0.04613327980041504
10.0,25.0,0.25,4707.201985419602,0.050377607345581055
10.0,25.0,0.5,3863.3434186700174,0.05414152145385742
10.0,25.0,1.0,3983.111227528919,0.06152081489562988
10.0,50.0,0.001,5197.993752329099,0.08144974708557129
10.0,50.0,0.0025,5142.081522896598,0.08392167091369629
10.0,50.0,0.01,5317.091542507731,0.08276581764221191
10.0,50.0,0.1,4263.793813807847,0.08894991874694824
10.0,50.0,0.25,3659.220219176292,0.08064961433410645
10.0,50.0,0.5,3521.4423118522163,0.084075927734375
10.0,50.0,1.0,2959.451869251729,0.09319257736206055
10.0,100.0,0.001,4582.532011177109,0.1385209560394287
10.0,100.0,0.0025,5170.923989650567,0.16263747215270996
10.0,100.0,0.01,5376.390087775541,0.1837325096130371
10.0,100.0,0.1,3392.3425383127696,0.1874849796295166
10.0,100.0,0.25,3285.001977349088,0.18150997161865234
10.0,100.0,0.5,2465.0256307415407,0.20269465446472168
10.0,100.0,1.0,2759.3951991918875,0.27256035804748535
10.0,250.0,0.001,5286.348889046767,0.5185632705688477
10.0,250.0,0.0025,5689.699860274595,0.4912285804748535
10.0,250.0,0.01,4253.1004901239785,0.46936535835266113
10.0,250.0,0.1,3154.562237776659,0.5271873474121094
10.0,250.0,0.25,2622.9448771191305,0.43502306938171387
10.0,250.0,0.5,2360.669583049641,0.39583420753479004
10.0,250.0,1.0,2267.122382468948,0.4169881343841553
26.0,5.0,0.001,5542.903341468817,0.012759685516357422
26.0,5.0,0.0025,4944.111357882657,0.01925039291381836
26.0,5.0,0.01,4268.6154327396625,0.018825769424438477
26.0,5.0,0.1,5345.121500986722,0.02448558807373047
26.0,5.0,0.25,4562.7056664204365,0.02232503890991211
26.0,5.0,0.5,4824.483149832373,0.02390146255493164
26.0,5.0,1.0,5299.697487637614,0.03104233741760254
26.0,10.0,0.001,4661.6618036725,0.04443979263305664
26.0,10.0,0.0025,5578.801085501548,0.04400444030761719
26.0,10.0,0.01,4937.326404830005,0.044910430908203125
26.0,10.0,0.1,4699.498487649665,0.046990156173706055
26.0,10.0,0.25,4239.940840372722,0.047850608825683594
26.0,10.0,0.5,4694.163408821499,0.04664206504821777
26.0,10.0,1.0,4353.333258562258,0.05450129508972168
26.0,25.0,0.001,4751.556551331257,0.10147643089294434
26.0,25.0,0.0025,4106.300824381527,0.09570622444152832
26.0,25.0,0.01,4817.266567172891,0.09765291213989258
26.0,25.0,0.1,4488.617959309445,0.09934544563293457
26.0,25.0,0.25,3496.9703045759184,0.11072063446044922
26.0,25.0,0.5,4117.559553221326,0.12257528305053711
26.0,25.0,1.0,3952.992279550981,0.12127304077148438
26.0,50.0,0.001,4416.11406389224,0.16813373565673828
26.0,50.0,0.0025,4916.725490137062,0.18315863609313965
26.0,50.0,0.01,4422.711579604593,0.16713666915893555
26.0,50.0,0.1,3294.989796349537,0.21532034873962402
26.0,50.0,0.25,3382.092823509496,0.21691441535949707
26.0,50.0,0.5,2796.9998657088513,0.2160203456878662
26.0,50.0,1.0,3146.6175189278815,0.21216630935668945
26.0,100.0,0.001,4973.766399515955,0.38039588928222656
26.0,100.0,0.0025,4548.601417615979,0.3112633228302002
26.0,100.0,0.01,4329.354284115599,0.33341479301452637
