size_pop,max_iter,prob_mut,T,alpha,best_distance,time
6.0,5.0,0.0025,0.0025,1.0,5078.04345025876,0.011565923690795898
6.0,5.0,0.0025,0.01,0.001,5629.407346853555,0.013983726501464844
6.0,5.0,0.0025,0.01,0.0025,4565.180716234505,0.007207632064819336
6.0,5.0,0.0025,0.01,0.01,5426.422138894027,0.009188175201416016
6.0,5.0,0.0025,0.01,0.1,4879.735881625437,0.007516622543334961
6.0,5.0,0.0025,0.01,0.25,5054.765871637146,0.008937835693359375
6.0,5.0,0.0025,0.01,0.5,5214.374554016902,0.011437416076660156
6.0,5.0,0.0025,0.01,1.0,4463.687765130464,0.010871171951293945
6.0,5.0,0.0025,0.1,0.001,5329.012149986126,0.015106916427612305
6.0,5.0,0.0025,0.1,0.0025,4634.425411636581,0.010219573974609375
6.0,5.0,0.0025,0.1,0.01,5760.575063269023,0.0066945552825927734
6.0,5.0,0.0025,0.1,0.1,5146.330082064463,0.014079093933105469
6.0,5.0,0.0025,0.1,0.25,5587.580750487743,0.01441645622253418
6.0,5.0,0.0025,0.1,0.5,6056.29539700444,0.008101463317871094
6.0,5.0,0.0025,0.1,1.0,5488.9937040298555,0.010854005813598633
6.0,5.0,0.0025,0.25,0.001,5337.918573784352,0.009915828704833984
6.0,5.0,0.0025,0.25,0.0025,6291.970466605015,0.008913993835449219
6.0,5.0,0.0025,0.25,0.01,5257.590049986725,0.009283781051635742
6.0,5.0,0.0025,0.25,0.1,5592.300705124012,0.00705265998840332
6.0,5.0,0.0025,0.25,0.25,5529.154441301323,0.00902867317199707
6.0,5.0,0.0025,0.25,0.5,5353.629735566381,0.009437322616577148
6.0,5.0,0.0025,0.25,1.0,5093.517308560747,0.0072591304779052734
6.0,5.0,0.0025,0.5,0.001,6056.501848340522,0.011156797409057617
6.0,5.0,0.0025,0.5,0.0025,5449.709465715153,0.007815837860107422
6.0,5.0,0.0025,0.5,0.01,5174.509450939596,0.011309146881103516
6.0,5.0,0.0025,0.5,0.1,5124.324587417523,0.007765531539916992
6.0,5.0,0.0025,0.5,0.25,5794.341303710147,0.011789321899414062
6.0,5.0,0.0025,0.5,0.5,5447.930312440438,0.011817693710327148
6.0,5.0,0.0025,0.5,1.0,4926.623818063932,0.009308576583862305
