size_pop,max_iter,prob_mut,T,alpha,best_distance,time
6,5,0.0025,0.01,1,[6010.50271824],0.008643865585327148
6,5,0.0025,0.1,0.001,[5328.8214598],0.011254310607910156
6,5,0.0025,0.1,0.0025,[5179.34796188],0.007080793380737305
6,5,0.0025,0.1,0.01,[5486.6713264],0.009265661239624023
6,5,0.0025,0.1,0.1,[5622.4984169],0.010580301284790039
6,5,0.0025,0.1,0.25,[6022.09785677],0.008594989776611328
6,5,0.0025,0.1,0.5,[6114.88554485],0.0067081451416015625
6,5,0.0025,0.1,1,[4674.97620048],0.008625268936157227
6,5,0.0025,0.25,0.001,[5997.58374217],0.009358406066894531
6,5,0.0025,0.25,0.0025,[5517.10654418],0.014805316925048828
6,5,0.0025,0.25,0.01,[4993.49889147],0.011390209197998047
6,5,0.0025,0.25,0.1,[5778.54069022],0.008593320846557617
6,5,0.0025,0.25,0.25,[5028.74454103],0.0102996826171875
6,5,0.0025,0.25,0.5,[5873.68889478],0.007590532302856445
6,5,0.0025,0.25,1,[5480.6029723],0.005929470062255859
6,5,0.0025,0.5,0.001,[5393.89166452],0.015503406524658203
6,5,0.0025,0.5,0.0025,[5727.41379845],0.012475967407226562
6,5,0.0025,0.5,0.01,[5192.31471914],0.011745691299438477
6,5,0.0025,0.5,0.1,[5898.12498236],0.006556510925292969
6,5,0.0025,0.5,0.25,[6245.36751858],0.009452342987060547
6,5,0.0025,0.5,0.5,[4556.86954021],0.011539459228515625
6,5,0.0025,0.5,1,[5776.50681777],0.010876893997192383
6,5,0.0025,0.75,0.001,[6233.76140643],0.014233112335205078
6,5,0.0025,0.75,0.0025,[6240.59053295],0.009229183197021484
6,5,0.0025,0.75,0.01,[6051.75615502],0.012428045272827148
6,5,0.0025,0.75,0.1,[6020.54070361],0.007358551025390625
6,5,0.0025,0.75,0.25,[5908.98691315],0.013128519058227539
6,5,0.0025,0.75,0.5,[5586.17658745],0.006710052490234375
6,5,0.0025,0.75,1,[6067.6406659],0.01208639144897461
6,5,0.0025,1,0.001,[5867.44616106],0.009289264678955078
6,5,0.0025,1,0.0025,[5242.19593599],0.0072977542877197266
6,5,0.0025,1,0.01,[5730.38296911],0.009034395217895508
6,5,0.0025,1,0.1,[6046.84904724],0.01275014877319336
6,5,0.0025,1,0.25,[5567.39994629],0.010444879531860352
6,5,0.0025,1,0.5,[5699.07273953],0.008230447769165039
6,5,0.0025,1,1,[5612.90241291],0.010778188705444336
6,5,0.01,0.001,0.001,[5434.62082632],0.009562253952026367
6,5,0.01,0.001,0.0025,[5496.13840551],0.009479284286499023
6,5,0.01,0.001,0.01,[5439.25186293],0.007917165756225586
6,5,0.01,0.001,0.1,[5861.2624385],0.008352041244506836
6,5,0.01,0.001,0.25,[5942.51982195],0.010124444961547852
6,5,0.01,0.001,0.5,[5232.39438481],0.006963253021240234
6,5,0.01,0.001,1,[5311.23482772],0.011653423309326172
6,5,0.01,0.0025,0.001,[5157.45621927],0.009554386138916016
6,5,0.01,0.0025,0.0025,[5339.9675651],0.012790918350219727
6,5,0.01,0.0025,0.01,[5663.09349225],0.01097869873046875
6,5,0.01,0.0025,0.1,[5991.41747648],0.010415792465209961
6,5,0.01,0.0025,0.25,[5632.64101742],0.014376163482666016
6,5,0.01,0.0025,0.5,[5657.53261537],0.01091623306274414
6,5,0.01,0.0025,1,[5091.22241238],0.010596990585327148
6,5,0.01,0.01,0.001,[5045.32747284],0.010144710540771484
