size_pop,max_iter,prob_mut,best_distance,time
100.0,50.0,0.0025,3590.7788701572363,0.37397217750549316
100.0,50.0,0.01,2772.7290501118055,0.37463998794555664
100.0,50.0,0.1,2942.892211645086,0.40268421173095703
100.0,50.0,0.25,2550.0712360047937,0.41649889945983887
100.0,50.0,0.5,2612.047759980266,0.42313408851623535
100.0,50.0,1.0,3222.819841983955,0.46936583518981934
100.0,100.0,0.001,3296.6632011403835,0.7507908344268799
100.0,100.0,0.0025,3042.568020776873,0.7658770084381104
100.0,100.0,0.01,3157.2739156287757,0.7929317951202393
100.0,100.0,0.1,2360.876330348497,0.7761058807373047
100.0,100.0,0.25,2377.2505034827377,0.8440179824829102
100.0,100.0,0.5,2271.3358935943857,0.877661943435669
100.0,100.0,1.0,2550.9312250502758,1.1266860961914062
100.0,250.0,0.001,3307.487205369757,1.916658878326416
100.0,250.0,0.0025,3147.472235185713,1.9070448875427246
100.0,250.0,0.01,3047.558108612355,1.9076883792877197
100.0,250.0,0.1,2409.2105667935753,1.9391109943389893
100.0,250.0,0.25,2301.629318220608,2.081271171569824
100.0,250.0,0.5,2574.199179158339,2.956048011779785
100.0,250.0,1.0,2364.8815269345996,3.5500311851501465
100.0,500.0,0.001,3530.345541455254,4.336693048477173
100.0,500.0,0.0025,2659.5883183679025,3.7689690589904785
100.0,500.0,0.01,2469.5345339645596,3.7323811054229736
100.0,500.0,0.1,2345.2273534416195,3.8542420864105225
100.0,500.0,0.25,2271.335893594385,4.356729030609131
100.0,500.0,0.5,2298.5563800822492,4.326755046844482
100.0,500.0,1.0,2402.754111734814,4.653682231903076
100.0,1000.0,0.001,2862.101235202358,7.396980047225952
100.0,1000.0,0.0025,2695.8214810425056,7.404227256774902
100.0,1000.0,0.01,2410.3823508713617,7.550896883010864
100.0,1000.0,0.1,2271.335893594385,7.518316984176636
100.0,1000.0,0.25,2298.5563800822492,7.881101131439209
100.0,1000.0,0.5,2276.7883964178363,8.246615886688232
100.0,1000.0,1.0,2295.412170249932,9.229501962661743
250.0,5.0,0.001,4480.977182461434,0.0954289436340332
250.0,5.0,0.0025,4484.083812921655,0.09435772895812988
250.0,5.0,0.01,4218.134694001996,0.09345889091491699
250.0,5.0,0.1,4311.502260052807,0.09495401382446289
250.0,5.0,0.25,4599.100550741705,0.12012982368469238
250.0,5.0,0.5,4294.469708422553,0.11254310607910156
250.0,5.0,1.0,4465.771475981095,0.11711907386779785
250.0,10.0,0.001,4041.46090444494,0.18552684783935547
250.0,10.0,0.0025,4009.8405490944765,0.21005487442016602
250.0,10.0,0.01,3953.6093040599967,0.18442988395690918
250.0,10.0,0.1,3950.6919862775044,0.21648597717285156
250.0,10.0,0.25,4069.261535486023,0.1920008659362793
250.0,10.0,0.5,3679.916895728347,0.21172690391540527
250.0,10.0,1.0,4004.0792648233755,0.2621471881866455
250.0,25.0,0.001,3661.6153928778576,0.47027087211608887
250.0,25.0,0.0025,3028.713478560171,0.5120370388031006
250.0,25.0,0.01,2988.8595419277576,0.46797800064086914
250.0,25.0,0.1,2866.6213072264813,0.5227401256561279
250.0,25.0,0.25,2923.3268231544544,0.4870421886444092
250.0,25.0,0.5,3231.058156578324,0.5584220886230469
250.0,25.0,1.0,3617.748707053452,0.5708112716674805
250.0,50.0,0.001,2853.4598231312375,0.9683792591094971
250.0,50.0,0.0025,2717.005492836,0.9441907405853271
250.0,50.0,0.01,2869.9062287926167,0.936589241027832
250.0,50.0,0.1,2511.339967026133,0.9732871055603027
250.0,50.0,0.25,2430.851299787951,0.9895689487457275
250.0,50.0,0.5,2541.120505334636,1.0542118549346924
250.0,50.0,1.0,3047.482292607301,1.2028300762176514
250.0,100.0,0.001,2354.9773599317095,1.8316657543182373
250.0,100.0,0.0025,3050.5784310757917,1.9267971515655518
250.0,100.0,0.01,2836.9068620899643,1.8368170261383057
250.0,100.0,0.1,2271.3358935943847,1.9206488132476807
250.0,100.0,0.25,2500.3034194069382,2.028420925140381
250.0,100.0,0.5,2453.3898219106977,2.101285934448242
250.0,100.0,1.0,2625.1426915074558,2.347886085510254
250.0,250.0,0.001,2741.6197285966764,4.559293031692505
250.0,250.0,0.0025,2815.923622870691,4.662562131881714
250.0,250.0,0.01,2444.5866275120516,5.620121955871582
250.0,250.0,0.1,2355.3532959194504,5.227713108062744
